utc_time,pst_time,unix_time,temp,temp_flg,cond,cond_flg,sal,sal_flg,fluor,fluor_flg,otemp,otemp_flg,do2,do2_flg,ba,ba_flg,trans,trans_flg,osat,osat_flg,tide,ph,ph_flg,phrawv
2011-07-05T20:49:25Z,2011-07-05 12:49:25,1309898965,13.854741920673,1,0.924813293336254,1,33.0344270306474,1,1.44694700854701,1,13.26,1,250.9,1,0.455945158523904,1,95.5310748099807,1,94.24,1,4.25,NaN,9,NaN
2011-07-05T20:54:25Z,2011-07-05 12:54:25,1309899265,13.7742956700723,1,0.923076049210111,1,33.0344764034231,1,1.52997509157509,1,13.32,1,231.45,1,0.45599811256633,1,95.5816757723098,1,87.04,1,4.3,NaN,9,NaN
2011-07-05T20:59:25Z,2011-07-05 12:59:25,1309899565,13.7625732902687,1,0.922806898021604,1,33.033841368352,1,1.49676385836386,1,13.35,1,233.28,1,0.45599811256633,1,95.5816757723098,1,87.78,1,4.36,NaN,9,NaN
2011-07-05T21:04:25Z,2011-07-05 13:04:25,1309899865,13.8242914221809,1,0.924054762153615,1,33.0304267761306,1,1.62960879120879,1,13.38,1,237.02,1,0.455094057866813,1,94.7214594127151,1,89.24,1,4.36,NaN,9,NaN
2011-07-05T21:09:25Z,2011-07-05 13:09:25,1309900165,13.8719138981296,1,0.92498454407494,1,33.0264650080256,1,1.72924249084249,1,13.35,1,229.57,1,0.454880146034537,1,94.5190555633987,1,86.38,1,4.41,NaN,9,NaN
2011-07-05T21:14:26Z,2011-07-05 13:14:26,1309900466,13.9117071782516,1,0.92579199492389,1,33.0243645657726,1,1.77905934065934,1,13.05,1,199.52,1,0.454262588303885,1,93.937144496614,1,74.62,1,4.45,NaN,9,NaN
2011-07-05T21:19:25Z,2011-07-05 13:19:25,1309900765,13.6562100671345,1,0.920825039248054,1,33.0464413750107,1,1.71263687423687,1,12.84,1,190.53,1,0.454504695724103,1,94.164848827095,1,70.94,1,4.49,NaN,9,NaN
2011-07-05T21:24:25Z,2011-07-05 13:24:25,1309901065,13.3857397086481,1,0.915295447871547,1,33.058709348519,1,1.61300317460317,1,12.74,1,187.94,1,0.455013894543117,1,94.6455579692215,1,69.83,1,4.53,NaN,9,NaN
2011-07-05T21:29:25Z,2011-07-05 13:29:25,1309901365,13.2308751962021,1,0.912065846658142,1,33.0630252269151,1,1.62960879120879,1,12.68,1,183.45,1,0.455067343898454,1,94.6961589315506,1,68.08,1,4.56,NaN,9,NaN
2011-07-05T21:34:25Z,2011-07-05 13:34:25,1309901665,13.1584469910746,1,0.910597871947074,1,33.0667200573768,1,1.57979194139194,1,12.62,1,178.31,1,0.455440691603755,1,95.0503656678543,1,66.08,1,4.56,NaN,9,NaN
2011-07-05T21:39:25Z,2011-07-05 13:39:25,1309901965,13.1095986030185,1,0.909643700265541,1,33.0706539764149,1,1.39713015873016,1,12.53,1,160.1,1,0.455945158523904,1,95.5310748099807,1,59.23,1,4.59,NaN,9,NaN
2011-07-05T21:44:25Z,2011-07-05 13:44:25,1309902265,13.0567762926313,1,0.908567198407987,1,33.0730867052776,1,1.26428522588523,1,12.33,1,152.16,1,0.456209648767648,1,95.7840796216262,1,56.05,1,4.61,NaN,9,NaN
2011-07-05T21:49:25Z,2011-07-05 13:49:25,1309902565,12.877543609902,1,0.905093112503057,1,33.0884900888158,1,1.13144029304029,1,12.25,1,148.9,1,0.456394376584234,1,95.9611829897781,1,54.76,1,4.62,NaN,9,NaN
2011-07-05T21:54:25Z,2011-07-05 13:54:25,1309902865,12.7264140165184,1,0.901986025063256,1,33.0942152520997,1,1.06501782661783,1,12.22,1,146.01,1,0.45663138345777,1,96.1888873202591,1,53.65,1,4.64,NaN,9,NaN
2011-07-05T21:59:25Z,2011-07-05 13:59:25,1309903165,12.6836327756205,1,0.901105288109453,1,33.0957565107697,1,1.09822905982906,1,12.18,1,144.81,1,0.456578763786271,1,96.13828635793,1,53.17,1,4.64,NaN,9,NaN
2011-07-05T22:04:25Z,2011-07-05 14:04:25,1309903465,12.643206555781,1,0.900346889852527,1,33.1002300806426,1,1.03180659340659,1,12.16,1,147.25,1,0.456762811627547,1,96.3153897260818,1,54.05,1,4.64,NaN,9,NaN
2011-07-05T22:09:25Z,2011-07-05 14:09:25,1309903765,12.6154508503287,1,0.899759734751558,1,33.1005759814564,1,1.03180659340659,1,12.16,1,143.94,1,0.456789076546172,1,96.3406902072464,1,52.84,1,4.65,NaN,9,NaN
2011-07-05T22:14:25Z,2011-07-05 14:14:25,1309904065,12.6138645093184,1,0.899735278951633,1,33.1009318031859,1,0.981989743589743,1,12.06,1,132.66,1,0.456867829936638,1,96.41659165074,1,48.59,1,4.64,NaN,9,NaN
2011-07-05T22:19:26Z,2011-07-05 14:19:26,1309904366,12.6162440086396,1,0.89971079616869,1,33.0978723748191,1,0.666483028083028,1,11.9,1,134.94,1,0.457651971377236,1,97.1756060856765,1,49.26,1,4.64,NaN,9,NaN
2011-07-05T22:24:25Z,2011-07-05 14:24:25,1309904665,12.4200863676617,1,0.89572311134685,1,33.1068386868362,1,1.04841221001221,1,11.82,1,127.29,1,0.456710261085855,1,96.2647887637527,1,46.38,1,4.63,NaN,9,NaN
2011-07-05T22:29:25Z,2011-07-05 14:29:25,1309904965,12.2712464050788,1,0.892787464936809,1,33.117248247544,1,0.89896166056166,1,11.78,1,127,1,0.457077536267454,1,96.6189955000564,1,46.24,1,4.61,NaN,9,NaN
2011-07-05T22:34:25Z,2011-07-05 14:34:25,1309905265,12.206686406675,1,0.891417499759724,1,33.117740939614,1,0.882356043956044,1,11.74,1,124.58,1,0.457156062902487,1,96.6948969435501,1,45.32,1,4.61,NaN,9,NaN
2011-07-05T22:39:25Z,2011-07-05 14:39:25,1309905565,12.1684031083799,1,0.890610204742508,1,33.1182307850675,1,0.865750427350427,1,11.7,1,123.65,1,0.457208379755462,1,96.7454979058792,1,44.95,1,4.59,NaN,9,NaN
2011-07-05T22:44:25Z,2011-07-05 14:44:25,1309905865,12.1229169808459,1,0.889607201211063,1,33.1169839283719,1,0.882356043956044,1,11.68,1,123.01,1,0.457182224750291,1,96.7201974247146,1,44.7,1,4.57,NaN,9,NaN
2011-07-05T22:49:25Z,2011-07-05 14:49:25,1309906165,12.1189256884282,1,0.889509346237567,1,33.1164654901432,1,0.882356043956044,1,11.66,1,121.62,1,0.457208379755462,1,96.7454979058792,1,44.16,1,4.54,NaN,9,NaN
2011-07-05T22:54:25Z,2011-07-05 14:54:25,1309906465,12.069416474199,1,0.888481894416939,1,33.1177553805352,1,0.882356043956044,1,11.64,1,124.13,1,0.457234527921578,1,96.7707983870437,1,45.06,1,4.51,NaN,9,NaN
2011-07-05T22:59:25Z,2011-07-05 14:59:25,1309906765,12.0510420567129,1,0.888090484443281,1,33.1178114843742,1,0.882356043956044,1,11.62,1,121.75,1,0.457260669252216,1,96.7960988682083,1,44.17,1,4.48,NaN,9,NaN
2011-07-05T23:04:25Z,2011-07-05 15:04:25,1309907065,12.0430518117377,1,0.887919242726016,1,33.1177922071522,1,0.865750427350427,1,11.61,1,118.73,1,0.457312931421345,1,96.8466998305374,1,43.07,1,4.48,NaN,9,NaN
2011-07-05T23:09:25Z,2011-07-05 15:09:25,1309907365,12.0046870878485,1,0.887111964702228,1,33.1183142673942,1,0.849144810744811,1,11.59,1,127.63,1,0.457339052266973,1,96.8720003117019,1,46.28,1,4.44,NaN,9,NaN
2011-07-05T23:14:25Z,2011-07-05 15:14:25,1309907665,11.9974915728743,1,0.886989654173926,1,33.1196213476384,1,0.832539194139194,1,11.58,1,121.27,1,0.457417373890877,1,96.9479017551956,1,43.96,1,4.4,NaN,9,NaN
2011-07-05T23:19:25Z,2011-07-05 15:19:25,1309907965,11.9894957671355,1,0.886818421178169,1,33.1195671793645,1,0.849144810744811,1,11.57,1,117.58,1,0.457339052266973,1,96.8720003117019,1,42.62,1,4.35,NaN,9,NaN
2011-07-05T23:24:25Z,2011-07-05 15:24:25,1309908265,11.9942933502666,1,0.886965204735601,1,33.1214089645137,1,0.865750427350427,1,11.56,1,117.26,1,0.457339052266973,1,96.8720003117019,1,42.49,1,4.3,NaN,9,NaN
2011-07-05T23:29:25Z,2011-07-05 15:29:25,1309908565,11.9743014470312,1,0.88647593824113,1,33.1188232376951,1,0.815933577533578,1,11.55,1,115.4,1,0.457391273498179,1,96.922601274031,1,41.81,1,4.25,NaN,9,NaN
2011-07-05T23:34:25Z,2011-07-05 15:34:25,1309908865,11.9583041837805,1,0.886182390559441,1,33.1208281005399,1,0.832539194139194,1,11.53,1,114.97,1,0.457417373890877,1,96.9479017551956,1,41.64,1,4.25,NaN,9,NaN
2011-07-05T23:39:25Z,2011-07-05 15:39:25,1309909165,11.9495042709585,1,0.885962213346915,1,33.1195244698957,1,0.799327960927961,1,11.54,1,115.66,1,0.457443467473048,1,96.9732022363601,1,41.9,1,4.2,NaN,9,NaN
2011-07-05T23:44:25Z,2011-07-05 15:44:25,1309909465,11.9439038022844,1,0.885864365133767,1,33.120430787004,1,0.782722344322344,1,11.53,1,114.69,1,0.457495634220017,1,97.0238031986892,1,41.54,1,4.14,NaN,9,NaN
2011-07-05T23:49:25Z,2011-07-05 15:49:25,1309909765,11.9367026005232,1,0.885717589467153,1,33.120723227241,1,0.782722344322344,1,11.53,1,114.29,1,0.457521707391914,1,97.0491036798538,1,41.39,1,4.08,NaN,9,NaN
